No.001　 ティラ（提拉）
No.549　 木の下忍（木之下忍）
No.550　 木の中忍（木之中忍）
No.551　 光の下忍（光之下忍）
No.552　 光の中忍（光之中忍）
No.553　 闇の下忍（暗之下忍）
No.554　 闇の中忍（暗之中忍）
No.555　 望月千代女（望月千代女）
No.556　 紅焔の巫女·望月千代女（紅焰巫女·望月千代女）
No.557　 初芽局（初芽局）
No.558　 蒼扇の夜叉·初芽局（蒼扇夜叉·初芽局）
No.559　 猿飛佐助（猿飛佐助）
No.560　 旋風の神童·猿飛佐助（旋風神童·猿飛佐助）
No.561　 風魔小太郎（風魔小太郎）
No.562　 雷角の頭領·風魔小太郎（雷角頭領·風魔小太郎）
No.563　 服部半蔵（服部半藏）
No.564　 朧夜の闇忍·服部半蔵（朧夜暗忍·服部半藏）
No.565　 石川五右衛門（石川五右衛門）
No.566　 天下の大泥棒·石川五右衛門（天下大盜·石川五右衛門）
No.567　 アレス（阿雷斯）
No.568　 戦軍神·アレス（戰軍神·阿雷斯）
No.569　 ヘルメス（赫耳墨斯）
No.570　 商業神·ヘルメス（商業神·赫耳墨斯）
No.571　 アルテミス（阿提米斯）
No.572　 狩猟神·アルテミス（狩獵神·阿提米斯）
No.573　 アポロン（阿波羅）
No.574　 光明神·アポロン（光明神·阿波羅）
No.575　 ペルセポネ（普西芬妮）
No.576　 冥府神·ペルセポネ（冥府神·普西芬妮）
No.577　 キンムギドラ（金色小麥幼龍）
No.578　 クロムギドラ（黑色小麥幼龍）
No.579　 ウィルオーウィスプ（鬼火）
No.580　 焔の霊魂·ウィルオーウィスプ（焰之靈魂·鬼火）
No.581　 ケルピー（凱爾比）
No.582　 湖の幻馬·ケルピー（湖之幻馬·凱爾比）
No.583　 トレント（樹人）
No.584　 森の賢人·トレント（森之賢者·樹人）
No.585　 ピクシー（皮克西）
No.586　 光の妖精·ピクシー（光之妖精·皮克西）
No.587　 ワーウルフ（狼男）
No.588　 月夜の魔人·ワーウルフ（月夜的魔人·狼男）
No.591　 モーグリ＆カーバンクル（莫古里＆寶石兔）
No.592　 究極召喚·モーグリ＆カーバンクル（究極召喚·莫古里＆寶石兔）
No.593　 エンジェリング（天使波利）
No.594　 アークエンジェリング（聖天使波利）
No.595　 デビルリング（惡魔波利）
No.596　 ヘラ·イース（赫拉·伊蘇）
No.597　 覚醒ヘラ·イース（覺醒赫拉·伊蘇）
No.600　 ピカペンドラ（閃光企鵝幼龍）
No.601　 トパペンドラ（黃玉企鵝龍）
No.602　 ヤミペンドラ（黑暗企鵝幼龍）
No.603　 アメペンドラ（紫晶企鵝龍）
No.604　 メカドン（機械咚）
No.605　 太鼓の達人！どんちゃん（太鼓達人！咚鏘）
No.606　 太鼓神どんちゃん（太鼓神咚鏘）
No.607　 あついさん（小熱）
No.608　 メラリ！あついさん（メラリ！ 小熱）
No.609　 ホワイトさん（小白）
No.610　 うっとり～んホワイトさん（うっとり～ん小白）
No.611　 カピバラさん（水豚君）
No.612　 のぼ～んカピバラさん（のぼ～ん水豚君）
No.613　 ひだまりさん（暖陽君）
No.614　 ふられ～んひだまりさん（ふられ～ん暖陽君）
No.615　 リーゼントくん（雷金特君）
No.616　 ブンブンリーゼントくん（ブンブン雷金特君）
No.617　 超キングルビードラゴン（超級紅寶石龍王）
No.618　 超キングサファイアドラゴン（超級藍寶石龍王）
No.619　 超キングエメラルドドラゴン（超級綠寶石龍王）
No.620　 大天使·ウリエル（大天使·烏列爾）
No.621　 神炎の熾天使·ウリエル（神炎的熾天使·烏列爾）
No.622　 大天使·ガブリエル（大天使·加百列）
No.623　 神託の大天使·ガブリエル（神諭的大天使·加百列）
No.624　 大天使·ミカエル（大天使·米迦勒）
No.625　 護法の大天使·ミカエル（護法大天使·米迦勒）
No.626　 大天使·ラファエル（大天使·拉斐爾）
No.627　 神癒の大天使·ラファエル（神癒的大天使·拉斐爾）
No.628　 大天使·ルシファー（大天使·路西法）
No.629　 黎明の熾天使·ルシファー（黎明的熾天使·路西法）
No.630　 魔神·ベリアル（魔神·彼列）
No.631　 邪炎の魔神將·ベリアル（邪炎的魔神將·彼列）
No.632　 魔神·アモン（魔神·亞蒙）
No.633　 義俠の魔神將·アモン（俠義的魔神將·亞蒙）
No.634　 魔神·アスタロト（魔神·亞斯塔露）
No.635　 予見の魔神將·アスタロト（預見的魔神將·亞斯塔露）
No.636　 魔神·バアル（魔神·巴力）
No.637　 閃剣の魔神將·バアル（閃劍的魔神將·巴力）
No.638　 墮天使·ルシファー（墮天使·路西法）
No.639　 逆心の神魔王·ルシファー（逆心的神魔王·路西法）
No.646　 大魔王·サタン（大魔王·撒旦）
No.647　 災禍の魔王神·サタン（災禍的魔王神·撒旦）
No.650　 ゼウス·ディオス（宙斯·迪奧斯）
No.651　 覚醒ゼウス·ディオス（覺醒宙斯·迪奧斯）
No.652　 焔剣の勝利神·フレイ（焰劍的勝利神·弗雷）
No.653　 蒼穹の雙星神·イズン＆イズーナ（蒼穹的雙星神·伊登＆伊茲娜）
No.654　 緑聖の豊麗神·フレイヤ（綠聖的豐麗神·芙蕾雅）
No.655　 雷槌の金剛神·トール（雷槌的金剛神·托爾）
No.656　 終焉の狡知神·ロキ（終末的狡詐神·洛基）
No.657　 天頂の雷霆龍·インドラ（天頂之雷霆龍·因陀羅）
No.658　 深潭の暗黒龍·ヴリトラ（深潭之暗黑龍·弗栗多）
No.659　 パズドロイド（迷城機器人）
No.660　 ドロイドラゴン（機器人智龍）
No.661　 カオスブリザードドラゴン（混沌暴雪龍）
No.662　 キャシー·クレイジー（凱西·瘋狂）
No.663　 ロマンティック★キャシー（浪漫★凱西）
No.664　 鵜飼孫六（鵜飼孫六）
No.665　 蒼翼忍者·鵜飼孫六（蒼翼忍者·鵜飼孫六）
No.666　 ECO·タイニー·アルマ（ECO·泰迪·阿魯瑪）
No.667　 ECO·ダンプティー（ECO·德普提）
No.668　 ECO·ダンプティー·アルマ（ECO·德普提·阿魯瑪）
No.669　 亡國のアポロ（亡國的阿波羅）
No.670　 灼炎のアポロ（灼炎的阿波羅）
No.671　 聖龍王サイガ（聖龍王賽加）
No.672　 光龍王サイガ（光龍王賽加）
No.673　 バンチャック（邦嘉）
No.674　 KOBレオンハート（KOB萊因哈特）
No.675　 コボックル（小布庫魯）
No.676　 ボックル（布庫魯）
No.677　 カグヤ（香具耶）
No.678　 狂華咲亂花媛香具耶（狂華咲亂花媛香具耶）
No.679　 ウエハーマン（威化人）
No.680　 聖龍石（聖龍石）
No.681　 マネキニャドラ（招財貓龍）
No.682　 ヘビーメタルドラゴン（重金屬龍）
No.683　 龍王·ゼローグ（龍王·賽羅古）
No.684　 キングホノりん（炎之波利王）
No.685　 キングアワりん（泡沫波利王）
No.686　 キングモリりん（森之波利王）
No.687　 キングヒカりん（閃光之波利王）
No.688　 キングワルりん（惡之波利王）
No.689　 荒武者·レッドゴブリン（荒武者·紅色哥布林）
No.690　 突撃兵·マリンゴブリン（突擊兵·海洋哥布林）
No.691　 重戦士·ホブゴブリン（重戰士・淘氣哥布林）
No.692　 破龍皇帝·グランドジークフリート（破龍皇帝·齊格弗里德大公）
No.693　 王狼英雄·ノーブルクーフーリン（王狼英雄·貴族庫胡林）
No.694　 薔薇戦姫·グレイスヴァルキリー（薔薇戰姬·女爵瓦爾基里）
No.695　 アスカ＆エヴァ2號機（明日香＆EVA2號機）
No.696　 アスカ＆エヴァ改2號機（明日香＆EVA改2號機）
No.697　 シンジ＆エヴァ初號機（真嗣＆EVA初號機）
No.698　 シンジ＆エヴァ初號機・覚醒（真嗣＆EVA初號機・覺醒）
No.699　 マリ＆エヴァ仮設5號機（真理＆EVA暫設5號機）
No.700　 マリ＆エヴァ8號機（真理＆EVA8號機）
No.701　 レイ＆エヴァ零號機（麗＆EVA零號機）
No.702　 レイ＆エヴァ零號機・特攻（麗＆EVA零號機・特攻）
No.703　 カヲル＆Mark.06・建造中（薰＆Mark.06・建造中）
No.704　 カヲル＆Mark.06（薰＆Mark.06）
No.705　 シンジ＆カヲル＆第13號機（真嗣＆薰＆第13號機）
No.706　 シンジ＆カヲル＆第13號機・覚醒（真嗣＆薰＆第13號機・覺醒）
No.707　 第5の使徒（第5使徒）
No.708　 第5の使徒・戦闘形態（第5使徒・戰鬥形態）
No.709　 第6の使徒（第6使徒）
No.710　 第6の使徒・戦闘形態（第6使徒・戰鬥形態）
No.711　 第10の使徒（第10使徒）
No.712　 第10の使徒・戦闘形態 第10使徒・戰鬥形態）
No.713　 第4の使徒（第4使徒）
No.714　 第4の使徒・戦闘形態（第4使徒・戰鬥形態）
No.717　 ねねこ（河童彌彌子）
